CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,DB00027,Gramicidin D
C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCCN)C(=O)NCC(=O)N.C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,DB00067,Vasopressin
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,DB00091,Cyclosporine
[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO,DB00115,Cyanocobalamin
NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,DB00116,Tetrahydrofolic acid
N[C@@H](CC1=CN=CN1)C(O)=O,DB00117,Histidine
CC(=O)C(O)=O,DB00119,Pyruvic acid
N[C@@H](CC1=CC=CC=C1)C(O)=O,DB00120,L-Phenylalanine
C[N+](C)(C)CCO,DB00122,Choline
NCCCC[C@H](N)C(O)=O,DB00123,L-Lysine
N[C@@H](CCCNC(N)=N)C(O)=O,DB00125,L-Arginine
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,DB00126,Vitamin C
NCCCNCCCCNCCCN,DB00127,Spermine
N[C@@H](CC(O)=O)C(O)=O,DB00128,L-Aspartic Acid
N[C@@H](CCC(N)=O)C(O)=O,DB00130,L-Glutamine
N[C@@H](CO)C(O)=O,DB00133,Serine
CSCC[C@H](N)C(O)=O,DB00134,Methionine
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,DB00135,L-Tyrosine
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,DB00138,Cystine
OC(=O)CCC(O)=O,DB00139,Succinic acid
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,DB00140,Riboflavin
N[C@@H](CCC(O)=O)C(O)=O,DB00142,Glutamic Acid
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,DB00143,Glutathione
NCC(O)=O,DB00145,Glycine
CN(CC(O)=O)C(N)=N,DB00148,Creatine
CC(C)C[C@H](N)C(O)=O,DB00149,L-Leucine
N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,DB00150,L-Tryptophan
N[C@@H](CS)C(O)=O,DB00151,L-Cysteine
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,DB00152,Thiamine
C[C@@H](O)[C@H](N)C(O)=O,DB00156,L-Threonine
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,DB00158,Folic Acid
C[C@H](N)C(O)=O,DB00160,L-Alanine
CC(C)[C@H](N)C(O)=O,DB00161,L-Valine
CC[C@H](C)[C@H](N)C(O)=O,DB00167,L-Isoleucine
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,DB00168,Aspartame
OC(=O)[C@@H]1CCCN1,DB00172,L-Proline
N[C@@H](CC(N)=O)C(O)=O,DB00174,L-Asparagine
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,DB00175,Pravastatin
COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,DB00176,Fluvoxamine
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,DB00177,Valsartan
[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,DB00178,Ramipril
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,DB00181,Baclofen
CC(N)CC1=CC=CC=C1,DB00182,Amphetamine
CN1CCC[C@H]1C1=CN=CC=C1,DB00184,Nicotine
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,DB00196,Fluconazole
CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,DB00197,Troglitazone
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,DB00198,Oseltamivir
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,DB00199,Erythromycin
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,DB00201,Caffeine
CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,DB00203,Sildenafil
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,DB00206,Reserpine
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,DB00207,Azithromycin
COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,DB00211,Midodrine
COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,DB00213,Pantoprazole
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,DB00215,Citalopram
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,DB00216,Eletriptan
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,DB00220,Nelfinavir
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,DB00224,Indinavir
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,DB00227,Lovastatin
[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,DB00229,Cefotiam
CC(C)C[C@H](CN)CC(O)=O,DB00230,Pregabalin
[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1,DB00234,Reboxetine
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,DB00242,Cladribine
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00252,Phenytoin
[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,DB00254,Doxycycline
CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,DB00255,Diethylstilbestrol
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00257,Clotrimazole
N[C@@H]1CONC1=O,DB00260,Cycloserine
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,DB00264,Metoprolol
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,DB00274,Cefmetazole
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,DB00275,Olmesartan
COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,DB00276,Amsacrine
CN1C2=C(NC=N2)C(=O)N(C)C1=O,DB00277,Theophylline
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,DB00279,Liothyronine
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,DB00280,Disopyramide
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,DB00281,Lidocaine
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,DB00285,Venlafaxine
C[C@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],DB00286,Conjugated estrogens
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,DB00291,Chlorambucil
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,DB00295,Morphine
